# Title: January - December 2014 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
1,Alabama,62,-1.1,17,63.1
2,Arizona,62.3,2.9,126,59.4
3,Arkansas,58.7,-1.7,6,60.4
4,California,61.5,4.1,129,57.4
5,Colorado,46.1,1.5,105,44.6
6,Connecticut,48.7,0.6,84,48
7,Delaware,54.7,0.5,78,54.2
8,Florida,70.6,0.5,81,70.1
9,Georgia,63,-0.4,35,63.4
10,Idaho,45.1,2.5,125,42.6
11,Illinois,49.5,-2.1,6,51.6
12,Indiana,49.4,-1.9,7,51.3
13,Iowa,45.5,-2.1,11,47.5
14,Kansas,53.7,-0.5,46,54.1
15,Kentucky,54.3,-1.1,16,55.5
16,Louisiana,65.1,-1.3,9,66.4
17,Maine,41.2,1.1,99,40.1
18,Maryland,53.6,-0.2,48,53.8
19,Massachusetts,47.7,0.8,88,46.9
20,Michigan,41.9,-1.7,10,43.6
21,Minnesota,38.6,-1.4,18,40.1
22,Mississippi,62.3,-1.3,13,63.6
23,Missouri,52.9,-1.6,10,54.5
24,Montana,41.9,0.8,82,41.1
25,Nebraska,48,-0.4,47,48.4
26,Nevada,53,3.5,129,49.5
27,New Hampshire,43.1,0.7,86,42.3
28,New Jersey,51.9,0.5,76,51.4
29,New Mexico,54.8,2,117,52.8
30,New York,44.5,0,54,44.5
31,North Carolina,58.4,-0.2,43,58.5
32,North Dakota,39,-0.7,41,39.7
33,Ohio,49.2,-1.2,15,50.4
34,Oklahoma,58.9,-0.8,29,59.7
35,Oregon,49.6,3.1,127,46.5
36,Pennsylvania,47.4,-0.7,23,48.1
37,Rhode Island,49.7,1.2,94,48.6
38,South Carolina,62.2,-0.2,38,62.4
39,South Dakota,43.7,-0.9,36,44.6
40,Tennessee,56.6,-1,16,57.7
41,Texas,64.9,0.2,61,64.6
42,Utah,50.4,2.9,123,47.5
43,Vermont,42,0.6,83,41.3
44,Virginia,54.4,-0.4,34,54.8
45,Washington,48.4,2.2,123,46.1
46,West Virginia,50.8,-0.8,24,51.6
47,Wisconsin,40.2,-2.1,9,42.4
48,Wyoming,42.1,1.4,98,40.7
