# Title: January - December 2020 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
1,Alabama,64.9,1.8,118,63.1
2,Arizona,62.6,3.3,128,59.4
3,Arkansas,61.2,0.7,90,60.4
4,California,60.5,3.1,127,57.4
5,Colorado,47.3,2.7,123,44.6
6,Connecticut,51.8,3.7,127,48
7,Delaware,58,3.8,128,54.2
8,Florida,73.2,3.1,128,70.1
9,Georgia,65.6,2.3,124,63.4
10,Idaho,44.3,1.7,116,42.6
11,Illinois,53.3,1.7,107,51.6
12,Indiana,53.3,2,118,51.3
13,Iowa,49.2,1.6,109,47.5
14,Kansas,55.6,1.5,104,54.1
15,Kentucky,57.1,1.7,112,55.5
16,Louisiana,68.2,1.8,120,66.4
17,Maine,43.5,3.4,123,40.1
18,Maryland,57.2,3.4,127,53.8
19,Massachusetts,50.9,4,127,46.9
20,Michigan,46.5,3,118,43.6
21,Minnesota,42.4,2.3,113,40.1
22,Mississippi,65.5,1.8,120,63.6
23,Missouri,55.8,1.3,104,54.5
24,Montana,43.3,2.2,112,41.1
25,Nebraska,50.6,2.2,114,48.4
26,Nevada,52.4,3,125,49.5
27,New Hampshire,45.9,3.5,124,42.3
28,New Jersey,55.5,4.1,127,51.4
29,New Mexico,56,3.2,128,52.8
30,New York,47.8,3.3,126,44.5
31,North Carolina,60.8,2.3,126,58.5
32,North Dakota,42.3,2.6,115,39.7
33,Ohio,53,2.6,121,50.4
34,Oklahoma,60.7,1,101,59.7
35,Oregon,48.8,2.3,122,46.5
36,Pennsylvania,51.2,3,126,48.1
37,Rhode Island,52.8,4.2,128,48.6
38,South Carolina,64.6,2.2,124,62.4
39,South Dakota,46.8,2.2,114,44.6
40,Tennessee,59.3,1.6,116,57.7
41,Texas,66.9,2.2,122,64.6
42,Utah,50.4,2.8,123,47.5
43,Vermont,44.8,3.5,123,41.3
44,Virginia,57.4,2.6,126,54.8
45,Washington,48.1,1.9,117,46.1
46,West Virginia,54,2.4,124,51.6
47,Wisconsin,44.8,2.5,116,42.4
48,Wyoming,42.8,2,115,40.7
