State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AK,0.28014735751005027,0.2769592094476325,0.2738064434870346,0.2713453846863519,0.27163468394625434,0.27118717610081655,0.26973953950065815,0.27037988373665,0.2720573932276753,0.2733939812315032,0.2728646973111913,0.2721373531648894,0.27274859670846996
AL,0.1671738652081304,0.16669899932674442,0.1661271686863577,0.16562869235526279,0.16522784196535215,0.16486867076901138,0.16448974766244648,0.1641198682281578,0.16367680296647838,0.16315925260825362,0.1589868088644685,0.15840392208111073,0.15766954945729156
AR,0.17111778242305517,0.2380412335024673,0.20324074136802697,0.2027437994188011,0.20219775479613075,0.23505329665606464,0.23412013306050533,0.1999103735158737,0.23257877027630025,0.16568339096906226,0.13269867978083486,0.1651013408540296,0.16412793575638687
AZ,0.04682252950287584,0.04634891805403141,0.045766743992123236,0.045230012706618236,0.04457378767097948,0.04392594904941318,0.04322098949557071,0.042589389449870015,0.041911007842387785,0.04121605497232548,0.0417438754429547,0.04125136284189989,0.04072941494639194
CA,0.11522125884745194,0.1115882571851081,0.11067543637743486,0.10454568015028023,0.10363507272021236,0.11048859211710146,0.10978597173746539,0.10925213937920444,0.10896672480590493,0.11135794612214048,0.11138338159946536,0.11240243341049931,0.11270313972504942
CO,0.059437142151256034,0.05858107268973824,0.057774002353712856,0.056936421944435746,0.05607370776738607,0.055039579879217475,0.05415929874539985,0.05345797356859593,0.05271215456187678,0.05209476524014992,0.06914172134192327,0.06882790889112045,0.06848096717039553
CT,0.27939875622849675,0.1950793736168524,0.19473942057232804,0.16690585202516606,0.16692057140250002,0.08363250539011498,0.055894946565828454,0.05597071835898331,0.05599856643669922,0.05609646572632161,0.055903617690811626,0.05549865401889341,0.05542152782742623
DC,0.16522753483822572,0.16134236850596967,0.15749916525442414,0.15370876186055235,0.15098259472647993,0.14806040864672787,0.1458119172079934,0.1439043554092208,0.1425421247614201,0.14169343491807995,0.1490670637813246,0.1494685645188532,0.14904262470023802
DE,0.11116138075774266,0.11020728888967259,0.10926824151340886,0.10827479276204666,0.10724010093438299,0.10624147412170173,0.10538285062718604,0.10451253784660276,0.10357553090227752,0.10269428732218484,0.10082047704216918,0.09951427084401039,0.09809124251195978
FL,0.14857629156441654,0.146956656236418,0.14509409403817694,0.1432545939573882,0.1410869977195806,0.1336035622074515,0.13098226951231953,0.12879459280229988,0.12709281263313854,0.1257115682159624,0.12505037330083751,0.12367899382832659,0.12137274734990473
GA,0.07207666568402146,0.07141085716390148,0.07069685893855736,0.09024837254608407,0.08939854447249793,0.08842213355338,0.08736261016182467,0.08645259084005982,0.08562351663203513,0.08476633171721612,0.08385830183211754,0.08340758925654645,0.0824693145425473
HI,0.1466315435242745,0.14499803890152385,0.14338932208396304,0.1420209438285864,0.14138891991590188,0.14064183306939548,0.14009928836566474,0.14041068721904698,0.14078627727998097,0.1412557067305519,0.13781878345981652,0.13824136250686886,0.13894687991307483
IA,0.09833663580535246,0.09783663629817475,0.09752323491071747,0.09699330455218676,0.09648318780452506,0.09612426945555214,0.09580468108058739,0.09549426238640162,0.09527989740260648,0.0950850535804277,0.0940172440161158,0.09381027310046705,0.09375899500358316
ID,0.12732803394056072,0.12626980068311963,0.1253663832550629,0.12413062016899143,0.12261573699414878,0.12113437496782369,0.11887920683793197,0.1164337506513013,0.11425072092204902,0.1119153472313542,0.10814674864911193,0.10501239933905196,0.10314616430358804
IL,0.16354499508313655,0.15543090342502877,0.15524924878769744,0.1550973239585273,0.15522535500620785,0.15553414196052187,0.15599982746419083,0.15650887546181858,0.15719475274483652,0.14993898666971384,0.1485494110914965,0.14972016906401492,0.15100319769139953
IN,0.04622188476822498,0.046036785232872475,0.04588767645149986,0.04567104697678221,0.04549836175565439,0.04539661662042769,0.045219513606853105,0.030038698855735846,0.029870822136131195,0.02970788680522722,0.029458994405442373,0.029352205627463566,0.029272830685654585
KS,0.17493588599778181,0.17426308497939338,0.17329478795129863,0.17281830712716523,0.17238555753798948,0.17187972132109505,0.17177148620812382,0.17189703505118062,0.1717411009772412,0.17162585289467597,0.17017661609925244,0.1701869265126044,0.1702582067860835
KY,0.068994367989741,0.06865269767342873,0.06839405737714262,0.06810969929794793,0.06796019073254063,0.0677816599095883,0.0675952450800801,0.06738138854174995,0.06724718923560792,0.06714905052361711,0.06654607039908787,0.06655426390984116,0.06649580200919282
LA,0.19804019423782251,0.1966944406501844,0.19561084049196562,0.19461449787189047,0.1937979071118018,0.19294143069929692,0.1923843582966289,0.17128567024082766,0.15022458575570477,0.1505766872010246,0.15047220326988994,0.15128439369645477,0.1525711619144019
MA,0.304585210530059,0.3024079383293443,0.28515662227478444,0.2681238702489009,0.26616997377930013,0.23549401050421034,0.23448005805726238,0.21866561784917873,0.2179397861429525,0.2176277616418883,0.18577498105452453,0.17162591671480534,0.17185231012467886
MD,0.2764031997125407,0.27399986197256954,0.27178565895791945,0.2701248044127588,0.26857881352959057,0.2673099033975423,0.2665190595275317,0.2656100698089666,0.2650849050383031,0.2646517844146564,0.2591643343226392,0.19433056763149095,0.17845609842080953
ME,0.2259667422148808,0.22585531407439977,0.15063314878262055,0.1506013889966107,0.15031796006502754,0.15057270327691374,0.15022718105454974,0.07492814390999032,0.07467941992013782,0.07439302729033813,0.07328600523115505,0.07252751875380316,0.07197672560600804
MI,0.2126041887074779,0.21249873006711317,0.21218240209676628,0.2118416453437963,0.2114835997489589,0.2114438442907393,0.2110431652615714,0.21056612809198813,0.21033502162244022,0.21027636622813364,0.19859736638046468,0.19924055477735517,0.199336587901804
MN,0.20712401154772853,0.1870507391964637,0.18598965934691963,0.18472409332335085,0.18344991881423842,0.18241411213944025,0.1810694104235141,0.17965481124567256,0.1783723841020975,0.17731653412846796,0.17511362247394222,0.17488730262219027,0.17499956250109375
MO,0.13342286007244195,0.1331053903523549,0.1327940346263765,0.13243465384478492,0.13209599019319368,0.1317581210764902,0.13142471786809393,0.13100429530333227,0.1306842972852134,0.13034776130978645,0.12998775190407683,0.12965138525212253,0.1295091860865691
MS,0.10099146689432388,0.10071402889351204,0.1005423926944557,0.10037772136549837,0.10031874609592879,0.10038578256238725,0.1004036897686632,0.10038447252978909,0.1006366948225775,0.10080140476837685,0.10140585699948858,0.10170932694869984,0.1020780366174333
MT,0.10093903585051736,0.10026912232431848,0.09962312571541858,0.09866126529126286,0.09785990180737453,0.09704262597345885,0.09607449231836397,0.09501350141855158,0.09428047498503297,0.09356480017365627,0.09197846600153972,0.0903860024621147,0.08905686993600373
NC,0.12533523257989101,0.1242545760889464,0.12308353802809505,0.12190988908638291,0.1208107975052973,0.11962144597207676,0.11817085693960327,0.11686528733814279,0.11558895220059692,0.11441555960078123,0.11479066200922687,0.11356001173453455,0.11219184056791509
ND,0.14821072601024135,0.14593746579590644,0.14261754538090293,0.13849724944462602,0.13561142444884128,0.1326143865391093,0.1325496995098312,0.1324605068998678,0.13191219924018574,0.13122291887011817,0.12827699621454583,0.1285376782496253,0.12838420771537734
NE,0.38260941809480187,0.16298395368647972,0.1618731529598776,0.16083384844840906,0.15963212245273692,0.15862298330704597,0.15742940865315994,0.1565805317161696,0.1557944634802198,0.15508620725307173,0.15280605397211697,0.15272981637294178,0.1524343770007012
NH,0.2278316051040355,0.22723795297992277,0.22654640576575705,0.22613826696677727,0.224998706257439,0.22449208665394546,0.2234958172757797,0.22242207257335667,0.2216533120546154,0.2206351202571723,0.2175959707028785,0.21621715120930252,0.21443842507843086
NJ,0.22728703602476794,0.2152214339705738,0.21481203607666394,0.19193918643979002,0.19177564505712377,0.18042503401857635,0.1690935918376043,0.18006814453844877,0.1800580124408833,0.18013575480821734,0.17255525866464663,0.17261514643967774,0.1727709337091965
NM,0.09687331682612015,0.09613304813862386,0.0958171502159,0.09558982025768148,0.09571356376054764,0.09572625354725599,0.09561920607373196,0.09561216645695732,0.09556844349109613,0.0953821222426817,0.09440695439388846,0.09447554264389806,0.09463083564705727
NV,0.11101222799691386,0.11058970114976426,0.10932960543674262,0.10807033217217765,0.1064725364739419,0.10464122187461959,0.10282554309881226,0.10101333207627854,0.09909686421186117,0.09739766427414716,0.09628222245044675,0.09534003340714771,0.09441619476927987
NY,0.16494949091947897,0.16410895172791598,0.15838199407222178,0.15287054967714503,0.14757481903383377,0.13737196042914188,0.13242720527459595,0.13272367563722168,0.13312612763590373,0.13879206999685045,0.11937501212402467,0.12087923932306417,0.12199337169347133
OH,0.07799408908796832,0.07795810063923043,0.07792934458044269,0.07774246925976384,0.07756815224042679,0.07746915501035634,0.07735700343035334,0.07718928098184766,0.07707894108265595,0.07699480712800814,0.07628222796994684,0.07649661158258995,0.07653258413035642
OK,0.2127691263486903,0.21117211345538553,0.2094891241102604,0.20761888646724527,0.20628195597582066,0.20462974804962272,0.20375256187010213,0.20349419888912518,0.20303357540857334,0.2021748453551972,0.20175354090073877,0.20041917670808496,0.19904106988555884
OR,0.2084695442933938,0.18078344312914446,0.17953316759857205,0.1784590721963825,0.1766229886426372,0.17431181694669445,0.17115014855832894,0.16893420616006516,0.16738858974156637,0.16596577738251578,0.18845505488282335,0.18794938992802712,0.18870688372046943
PA,0.13374074435378044,0.1412228249037037,0.14098718285520664,0.14088575972919878,0.14075351455661117,0.1251483594692646,0.12517333573248893,0.12512081000709982,0.12499099674226591,0.12498057918968686,0.12311975928240264,0.12294816797240182,0.1233417187714764
RI,0.09488035113320348,0.09490826641509649,0.09482079344143536,0.09477945295195345,0.09470270925510638,0.09469114117028782,0.09462797013541263,0.0947263025577049,0.09449232580575968,0.09439652771812442,0.09120392833560127,0.09115005851833757,0.09142088162641406
SC,0.08628780997008186,0.08561654830892335,0.08479329725943824,0.08396164631996104,0.08292532346577268,0.08176718511150387,0.08067821333255883,0.07966115331824551,0.0786757920095292,0.07768930261032173,0.07794002943405212,0.07701419063476636,0.0757152010569842
SD,0.12252409436315652,0.12142126013412192,0.1199665053517058,0.11872029024736559,0.11776773611547833,0.11709766413579582,0.11587539223820273,0.1145648597496987,0.11380474292646621,0.11303790500068388,0.11263138451003095,0.11156991138001938,0.10990593151321784
TN,0.15734871196704614,0.1562673114881008,0.15494511998795146,0.15398023509702294,0.1528766103831042,0.15171813198567174,0.15046621958137288,0.14905797595068804,0.1476749102247302,0.14643059321669064,0.1443815855148308,0.1436016352779819,0.14186457720951243
TX,0.06734814805072076,0.06238879927647709,0.05367175984831747,0.04531676532252357,0.04450323321552215,0.04004360238654046,0.03940617050476797,0.03887575143735139,0.038423026766248904,0.03793642276294347,0.03762695548570396,0.037210830408392924,0.0366302220377539
UT,0.10809517564024773,0.10659526205379223,0.10513865159679327,0.10353252992090115,0.10214925436151778,0.10060918863719824,0.09862360891399627,0.09674167586250042,0.09513088424156903,0.09357577360651637,0.0913525104583399,0.08983961831338694,0.08872495146745155
VA,0.27418775305504356,0.24687837721905087,0.23212967985651942,0.1938823572750174,0.192516104874592,0.19134617776442606,0.1902473048496654,0.1890451412622095,0.18820681953295065,0.18745198739525973,0.1852453684895081,0.18481410242489962,0.18435093320170676
VT,0.31955058405858,0.3189543400914442,0.31944289159705475,0.3193816770731863,0.31989046950324207,0.31988944620739074,0.32068909673105567,0.32033622490165675,0.3203290419919341,0.320518470678169,0.3110729528288974,0.3090745843333184,0.309066464743243
WA,0.10381397721728117,0.10253965831149117,0.1014925494319462,0.10051716079227627,0.09922526331904254,0.09771545455065758,0.09595914662708398,0.09429689674301213,0.07974620504423988,0.07879296531152834,0.07767426674844904,0.07750503039941055,0.07707646897794161
WI,0.07029290173491667,0.07011039582927277,0.06993055895495773,0.06972584147760215,0.06954677237776068,0.06943311334608589,0.06929253019595234,0.06908240944246005,0.06887756771267585,0.06869979118698469,0.0678345515288212,0.06802746540888419,0.06790545455656635
WV,0.21572192149987138,0.2154822951665705,0.21541603298450296,0.21575973858550074,0.21627595514220416,0.21714937162400585,0.21845711386476302,0.22014260838170968,0.22169372900491108,0.22319597666932456,0.22326885700857688,0.2240583806516626,0.22547469469317122
WY,0.17715199818596353,0.17627388731515478,0.17351923026869454,0.17178529586581506,0.17166468393956716,0.17076123651626587,0.17116986041097884,0.17273215633642006,0.17312989416569569,0.17278349019194517,0.17311101263017947,0.17254826174881113,0.17193090440813646
