governor,state,time_in_office,party,year
John E. Baldacci,Maine,2003 - 2011,Democrat,2010
Mike Rounds,South Dakota,2003 - 2011,Republican,2010
Don Carcieri,Rhode Island,2003 - 2011,Republican,2010
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2010
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2010
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2010
Felix P. Camacho,Guam,2003 - 2011,Republican,2010
Bill Richardson,New Mexico,2003 - 2011,Democrat,2010
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2010
Linda Lingle,Hawaii,2002 - 2010,Republican,2010
Rick Perry,Texas,2000 - 2015,Republican,2010
John Hoeven,North Dakota,2000 - 2010,Republican,2010
Sean Parnell,Alaska,2009 - 2014,Republican,2009
Mark Parkinson,Kansas,2009 - 2011,Democrat,2009
Pat Quinn,Illinois,2009 - 2015,Democrat,2009
Jan Brewer,Arizona,2009 - 2015,Republican,2009
Jack Markell,Delaware,2009 - 2017,Democrat,2009
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2009
Bev Perdue,North Carolina,2009 - 2013,Democrat,2009
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2009
David A. Paterson,New York,2008 - 2011,Democrat,2009
Bobby Jindal,Louisiana,2008 - 2016,Republican,2009
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2009
Martin O’Malley,Maryland,2007 - 2015,Democrat,2009
Chet Culver,Iowa,2007 - 2011,Democrat,2009
Bill Ritter,Colorado,2007 - 2011,Democrat,2009
Mike Beebe,Arkansas,2007 - 2015,Democrat,2009
Ted Strickland,Ohio,2007 - 2011,Democrat,2009
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2009
Charlie Crist,Florida,2007 - 2011,Republican,2009
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2009
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2009
Jim Gibbons,Nevada,2007 - 2011,Republican,2009
Sarah Palin,Alaska,2006 - 2009,Republican,2009
Jon Corzine,New Jersey,2006 - 2010,Democrat,2009
Tim Kaine,Virginia,2006 - 2010,Democrat,2009
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2009
Dave Heineman,Nebraska,2005 - 2015,Republican,2009
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2009
Chris Gregoire,Washington,2005 - 2013,Democrat,2009
Matt Blunt,Missouri,2005 - 2009,Republican,2009
Mitch Daniels,Indiana,2005 - 2013,Republican,2009
John Lynch,New Hampshire,2005 - 2013,Democrat,2009
Jon Huntsman,Utah,2005 - 2009,Republican,2009
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2009
Brian Schweitzer,Montana,2005 - 2013,Democrat,2009
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2009
Haley Barbour,Mississippi,2004 - 2012,Republican,2009
Arnold Schwarzenegger,California,2003 - 2011,Republican,2009
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2009
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2009
Bob Riley,Alabama,2003 - 2011,Republican,2009
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2009
Mark Sanford,South Carolina,2003 - 2011,Republican,2009
Sonny Perdue,Georgia,2003 - 2011,Republican,2009
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2009
Brad Henry,Oklahoma,2003 - 2011,Democrat,2009
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2009
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2009
Jim Douglas,Vermont,2003 - 2011,Republican,2009
John E. Baldacci,Maine,2003 - 2011,Democrat,2009
Mike Rounds,South Dakota,2003 - 2011,Republican,2009
Don Carcieri,Rhode Island,2003 - 2011,Republican,2009
Janet Napolitano,Arizona,2003 - 2009,Democrat,2009
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2009
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2009
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2009
Felix P. Camacho,Guam,2003 - 2011,Republican,2009
Bill Richardson,New Mexico,2003 - 2011,Democrat,2009
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2009
Linda Lingle,Hawaii,2002 - 2010,Republican,2009
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2009
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2009
Rick Perry,Texas,2000 - 2015,Republican,2009
John Hoeven,North Dakota,2000 - 2010,Republican,2009
David A. Paterson,New York,2008 - 2011,Democrat,2008
Bobby Jindal,Louisiana,2008 - 2016,Republican,2008
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2008
Martin O’Malley,Maryland,2007 - 2015,Democrat,2008
Chet Culver,Iowa,2007 - 2011,Democrat,2008
Bill Ritter,Colorado,2007 - 2011,Democrat,2008
Mike Beebe,Arkansas,2007 - 2015,Democrat,2008
Ted Strickland,Ohio,2007 - 2011,Democrat,2008
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2008
Charlie Crist,Florida,2007 - 2011,Republican,2008
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2008
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2008
Eliot Spitzer,New York,2007 - 2008,Democrat,2008
Jim Gibbons,Nevada,2007 - 2011,Republican,2008
Sarah Palin,Alaska,2006 - 2009,Republican,2008
Jon Corzine,New Jersey,2006 - 2010,Democrat,2008
Tim Kaine,Virginia,2006 - 2010,Democrat,2008
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2008
Dave Heineman,Nebraska,2005 - 2015,Republican,2008
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2008
Chris Gregoire,Washington,2005 - 2013,Democrat,2008
Matt Blunt,Missouri,2005 - 2009,Republican,2008
Mitch Daniels,Indiana,2005 - 2013,Republican,2008
John Lynch,New Hampshire,2005 - 2013,Democrat,2008
Jon Huntsman,Utah,2005 - 2009,Republican,2008
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2008
Brian Schweitzer,Montana,2005 - 2013,Democrat,2008
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2008
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2008
Haley Barbour,Mississippi,2004 - 2012,Republican,2008
Arnold Schwarzenegger,California,2003 - 2011,Republican,2008
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2008
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2008
Bob Riley,Alabama,2003 - 2011,Republican,2008
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2008
Mark Sanford,South Carolina,2003 - 2011,Republican,2008
Sonny Perdue,Georgia,2003 - 2011,Republican,2008
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2008
Brad Henry,Oklahoma,2003 - 2011,Democrat,2008
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2008
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2008
Jim Douglas,Vermont,2003 - 2011,Republican,2008
John E. Baldacci,Maine,2003 - 2011,Democrat,2008
Mike Rounds,South Dakota,2003 - 2011,Republican,2008
Don Carcieri,Rhode Island,2003 - 2011,Republican,2008
Janet Napolitano,Arizona,2003 - 2009,Democrat,2008
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2008
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2008
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2008
Felix P. Camacho,Guam,2003 - 2011,Republican,2008
Bill Richardson,New Mexico,2003 - 2011,Democrat,2008
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2008
Linda Lingle,Hawaii,2002 - 2010,Republican,2008
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2008
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2008
Rick Perry,Texas,2000 - 2015,Republican,2008
John Hoeven,North Dakota,2000 - 2010,Republican,2008
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2007
Martin O’Malley,Maryland,2007 - 2015,Democrat,2007
Chet Culver,Iowa,2007 - 2011,Democrat,2007
Bill Ritter,Colorado,2007 - 2011,Democrat,2007
Mike Beebe,Arkansas,2007 - 2015,Democrat,2007
Ted Strickland,Ohio,2007 - 2011,Democrat,2007
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2007
Charlie Crist,Florida,2007 - 2011,Republican,2007
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2007
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2007
Eliot Spitzer,New York,2007 - 2008,Democrat,2007
Jim Gibbons,Nevada,2007 - 2011,Republican,2007
Sarah Palin,Alaska,2006 - 2009,Republican,2007
James E. Risch,Idaho,2006 - 2007,Republican,2007
Jon Corzine,New Jersey,2006 - 2010,Democrat,2007
Tim Kaine,Virginia,2006 - 2010,Democrat,2007
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2007
Dave Heineman,Nebraska,2005 - 2015,Republican,2007
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2007
Chris Gregoire,Washington,2005 - 2013,Democrat,2007
Matt Blunt,Missouri,2005 - 2009,Republican,2007
Mitch Daniels,Indiana,2005 - 2013,Republican,2007
John Lynch,New Hampshire,2005 - 2013,Democrat,2007
