,Mean R2,Std R2
Linear,0.222167430253183,0.11811638159701798
Ridge,0.2222390317027753,0.11788255870134463
Lasso,0.22241023708749222,0.11392166109612482
Random Forest,0.6836259511917036,0.10969640580279903
